table_id,source_id,source_location,source_classification,verification_status,confidence,expansion_ratio,mass_ratio_0_20,mass_ratio_0_30,mass_ratio_0_40,mass_ratio_0_50,mass_ratio_0_60,mass_ratio_0_70,mass_ratio_0_80,mass_ratio_0_90,mass_ratio_1_00
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,5.0,1.27,1.26,1.25,1.24,1.22,1.21,1.19,1.18,1.17
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,5.2,1.31,1.30,1.29,1.28,1.26,1.25,1.23,1.22,1.20
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,5.4,1.35,1.34,1.33,1.32,1.30,1.28,1.26,1.25,1.24
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,5.6,1.39,1.38,1.36,1.35,1.33,1.31,1.30,1.28,1.27
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,5.8,1.43,1.42,1.40,1.39,1.37,1.35,1.34,1.32,1.31
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,6.0,1.47,1.46,1.44,1.43,1.41,1.39,1.38,1.36,1.35
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,6.2,1.50,1.49,1.48,1.46,1.45,1.43,1.41,1.39,1.38
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,6.4,1.54,1.53,1.52,1.50,1.48,1.46,1.45,1.43,1.41
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,6.6,1.58,1.57,1.55,1.53,1.52,1.50,1.48,1.46,1.45
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,6.8,1.62,1.60,1.59,1.57,1.56,1.54,1.52,1.50,1.48
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,7.0,1.66,1.64,1.63,1.61,1.59,1.57,1.56,1.54,1.52
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,7.2,1.70,1.68,1.66,1.64,1.63,1.61,1.59,1.57,1.55
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,7.4,1.73,1.72,1.70,1.69,1.67,1.65,1.62,1.60,1.59
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,7.6,1.77,1.76,1.74,1.72,1.70,1.68,1.66,1.64,1.62
Davis Table 4,SRC-DAVIS-1981,Table 4,later_primary_publication,verified_primary,medium,7.8,1.81,1.79,1.77,1.76,1.74,1.72,1.70,1.67,1.65
