path,file_type,bytes,sha256,audit_status,checkpoint_commit
.gitignore,project file,2959,30937920b1f9f306af35bd955daf901758cafbfc36e78b1e9e29ede99884b1c7,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
README.md,documentation,3798,8620796b9b2ee40c07973d0658b034586b490f664f4c7190cc9b94272b1a835a,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
TODO.md,documentation,2907,51af2f6255a83f491aff27d13757428721b2a9adbb8ca8d04573db99b18f85df,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/CartridgeData.csv,CSV data,1504,a44d4596d8750d7e5784b17d49192e9a97357a99ae87e86f2f9d3491700662f4,input compilation; row/field provenance absent,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/ExpansionRatio.csv,CSV data,376,09bdaaa4f33ba45ab41b766d60d5ae621bd888aea276bd8001837f4d79c3eccf,generated or derived; manifest absent at checkpoint,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/GRT_Files/65CM_140ELDM_RL16_44F.grtload,GRT XML model input,13543,71baeadf80b353e3454c7f250f4bee885f32e481f191e266da2fc1ea1c9c2d15,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/Predictions.csv,CSV data,781,512287107b8ec65e0442b75718dbd10a6c5f8ca67b7210cc30b3f408bde158e7,generated or derived; manifest absent at checkpoint,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/calculated_metrics.csv,CSV data,2116,ca2cb0071deca9036854282abb14b72700f5df6664d042d3c703aa05da16e216,generated or derived; manifest absent at checkpoint,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/cartridge_data_from_grt.csv,CSV data,361,244425066ef9e3369c9d7a798d9cbbebc3471ef319836e54a33cd85d88a5d75c,generated or derived; manifest absent at checkpoint,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/demo_summary.txt,project file,285,967d858106a281bf6ef9c4d8695bc5d49ac78d50b60594a74aca5770c77aee61,generated or derived; manifest absent at checkpoint,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/derived_metrics.csv,CSV data,1903,2bfa257876ed79e50c6186b2d29af7df104313161a927a25cebb9d6ffbfddbe7,generated or derived; manifest absent at checkpoint,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
data/propellant_params.csv,CSV data,605,e16a315f2a7f7e47cd2b721440fdbd711cf11114ec8a562fb5634b56ca46cc09,generated or derived; manifest absent at checkpoint,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
docs/Current_Findings.md,documentation,8597,be195713b89c43732580680347074ecc09e9f9c5cc62ca62c5a68aa3033b09ea,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
docs/Equations.md,documentation,8240,683a76c2d6fc45a77289f4d6acf94e33bafc87a51b191a49df66fc849423f62f,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
docs/History.md,documentation,4898,4702d23a8b5d45a2055fc2d46b7b2bc10b6f6a955680ee75efcfdae3cdc0ddc1,source or project artifact,6485b3d2f4c9fb48e2349f548ba7c79c8821947d
